#denominator	tree
c	phocryp
b	18srRNA
a	16srRNA
d	dsr_v2_
e	hzo_hao
f	pufMKEG
h	_K02588
mtrA	mtrAref
mtrB	mtrBref
mtrC	mtrCref
mtrD	mtrDref
mtrF	mtrFref
mtrG	mtrGref
#mtrH	mtrHref
m	p_a_moA
cdhA	cdhAref
cdhB	cdhBref
cdhC	cdhCref
cdhD	cdhDref
#cdhE	cdhEref
n	_K02586
r	COG1850
aprAB	aprAref
mer	merref_
bssA	bssAref
mcrA	mcrAref
mcrB	mcrBref
mcrC	mcrCref
mcrD	mcrDref
mcrG	mcrGref
GH1	GH1ref_
GH3	GH3ref_
GH5	GH5ref_
hmd	hmdref_
mch	mchref_
mtd	mtdref_
qmoABC	qmoref_
#ackA	ackAref
#fmdA	fmdAref
fmdB	fmdBref
fmdC	fmdCref
fmdD	fmdDref
fmdE	fmdEref
#ftr	ftrref_
fae	faeref_
fch	fchref_
#fhs	fhsref_
#mtdA	mtdAref
prx1	prx1ref
prx2	prx2ref
acd	acdref_
hdrA	hdrAref
hdrB	hdrBref
hdrC	hdrCref
